Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-2.0%, 1.50x, 10d, StopBelow200",0.015036081521469472,0.01861328517991423,7,8,-0.005910821027996449,0.14095767226911765,-0.5223901725163449,1.095353799631427,1.5
"Core: Above200+Below20+5D<-1.5%, 1.75x, 5d, StopBelow200",0.014980501786213254,0.012317782722964632,7,8,-0.022402439093214932,0.14139890428698376,-0.5370083552676613,1.1117900309971427,1.75
"Core: Above200+Below20+5D<-2.5%, 2.00x, 7d, Recover20",0.014968471982799422,0.018544948074469325,7,8,-0.05375607807577332,0.13991354976834292,-0.5118505489890699,1.0850895893240131,2.0
"Core: Above200+Below20+5D<-2.5%, 2.00x, 10d, Fixed",0.014749131392217188,0.01011849258311387,7,8,-0.02467332250254728,0.14245069829286955,-0.5365387739617755,1.1413661978697274,2.0
"Core: Above200+Below20+5D<-2.5%, 2.00x, 5d, StopBelow200",0.014596173748000166,0.014843258340575927,7,8,-0.02778343027053687,0.13893260542803693,-0.5214882090276203,1.0762003277250036,2.0
"Core: Above200+Below20+5D<-2.0%, 1.50x, 7d, Recover20",0.014015100975251119,0.017643866408106113,7,8,-0.030193162296522802,0.1370419827010061,-0.506704027609401,1.0559267429180952,1.5
"Core: Above200+Below20+5D<-1.5%, 1.50x, 7d, Fixed",0.013319382867564677,0.01135190052369539,7,8,-0.019551423100399035,0.13908801746813304,-0.5246684190246861,1.1007059014774294,1.5
"Core: Above200+Below20+5D<-2.5%, 1.75x, 10d, StopBelow200",0.013306875050569711,0.010446808129530583,7,8,-0.005963312176649804,0.13881057710331401,-0.5251478490546406,1.0975570789071658,1.75
"Core: Above200+Below20+5D<-2.5%, 1.50x, 7d, Fixed",0.012099143985962152,0.014329565561046587,7,8,-0.011763433568426684,0.13518445627250852,-0.5075937098100264,1.0544814132249845,1.5
"Core: Above200+Below20+5D<-3.0%, 1.75x, 10d, StopBelow200",0.011779960421277935,0.011175543361146456,7,8,-0.014081295271800798,0.13509869754874027,-0.5127875919386922,1.0634972998253613,1.75
"Core: Above200+Below20+5D<-3.0%, 2.00x, 7d, Recover20",0.011715759427952901,0.015899396138775113,7,8,-0.035943506815187876,0.1347294152609198,-0.5107300833052437,1.0604467173895555,2.0
"Core: Above200+Below20+5D<-2.5%, 2.00x, 5d, Fixed",0.0115190349638465,0.012737823754179867,7,8,-0.04434696171985397,0.13605758957130712,-0.5364317793510842,1.0821945884030493,2.0
"Core: Above200+Below20+5D<-2.5%, 1.75x, 7d, Recover20",0.011479490155220207,0.014120448194341328,7,8,-0.03979678486471494,0.13515270824309933,-0.509250695469353,1.0638171919930097,1.75
"Core: Above200+Below20+5D<-2.5%, 1.75x, 10d, Fixed",0.011472997842708207,0.007881676411189253,7,8,-0.017281985002953082,0.13725456204745212,-0.5279396348350315,1.1060246484022955,1.75
"Core: Above200+Below20+5D<-1.5%, 1.50x, 5d, Fixed",0.011359723381327166,0.01090684471727027,7,8,-0.020667047154860674,0.135556146418725,-0.5238627521405893,1.0770099169848937,1.5
"Core: Above200+Below20+5D<-2.5%, 1.75x, 5d, StopBelow200",0.011139022506012314,0.01125779284784667,7,8,-0.020450242964238807,0.13435256952026503,-0.5165770263745353,1.0571502457937527,1.75
"Core: Above200+Below20+5D<-1.5%, 1.50x, 7d, Recover20",0.010858487517822868,0.008966317231986376,7,8,-0.016478266565786548,0.13448537523539572,-0.5151442212169817,1.0696416554968444,1.5
"Core: Above200+Below20+5D<-3.0%, 1.75x, 7d, Fixed",0.010712254222399228,0.013933701034878065,7,8,-0.013732348296629837,0.1335202281556065,-0.5095669412024143,1.0544937950203026,1.75
"Core: Above200+Below20+5D<-1.5%, 1.50x, 5d, StopBelow200",0.010160508303029822,0.00841468395259709,7,8,-0.014429495641347101,0.13440165919679975,-0.5250907358836236,1.0745266873314285,1.5
"Core: Above200+Below20+5D<-2.0%, 1.25x, 7d, Fixed",0.010154139659273392,0.011616912671833735,7,8,-0.00904566130729556,0.1324094399322762,-0.5075592898374643,1.03949242291019,1.25
